,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,method,vtype,n_obs,clinton,trump,both,other,poll_type,p_clinton,n_clinton,n_respondents
0,alabama,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,621.0,35.0,53.0,88.0,0.0,0,0.3977272727272727,217.35,546.48
1,alabama,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,349.0,37.0,58.0,95.0,0.0,0,0.3894736842105263,129.13,331.55
2,alabama,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,505.0,39.0,51.0,90.0,0.0,0,0.43333333333333335,196.95,454.5
3,alabama,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,486.0,36.0,52.0,88.0,0.0,0,0.4090909090909091,174.96,427.68
4,alabama,2016-10-09,2016-10-16,7,2016-10-12,41,2,UPI/CVOTER,Internet,Likely Voters,327.0,38.0,57.0,95.0,0.0,0,0.4,124.26,310.65
5,alabama,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,580.0,37.0,57.0,94.0,0.0,0,0.39361702127659576,214.6,545.2
6,alabama,2016-09-19,2016-10-02,13,2016-09-25,38,6,UPI/CVOTER,Internet,Likely Voters,545.0,36.0,59.0,95.0,0.0,0,0.37894736842105264,196.2,517.75
7,alabama,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,628.0,40.0,53.0,93.0,0.0,0,0.43010752688172044,251.2,584.04
8,alabama,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,958.0,36.0,57.0,93.0,0.0,1,0.3870967741935484,344.88,890.94
10,alaska,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,303.0,35.0,47.0,82.0,15.0,0,0.4268292682926829,106.05,248.46
11,alaska,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,304.0,41.0,55.0,96.0,0.0,0,0.4270833333333333,124.64,291.84
12,alaska,2016-10-21,2016-10-26,5,2016-10-23,42,6,Craciun Research (D),Live Phone,Likely Voters,400.0,47.0,43.0,90.0,10.0,0,0.5222222222222223,188.0,360.0
13,alaska,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,462.0,31.0,46.0,77.0,21.0,0,0.4025974025974026,143.22,355.74
14,alaska,2016-10-05,2016-10-06,1,2016-10-05,40,2,Moore (R-Murkowski),Live Phone,Likely Voters,500.0,34.0,37.0,71.0,12.0,0,0.4788732394366197,170.0,355.0
15,alaska,2016-09-28,2016-10-02,4,2016-09-30,39,4,Alaska Survey Research/Alaska Dispatch News,Live Phone,Registered Voters,660.0,42.0,46.0,88.0,0.0,1,0.4772727272727273,277.2,580.8
17,alaska,2016-09-13,2016-09-15,2,2016-09-14,37,2,Moore (R-Murkowski),Live Phone,Likely Voters,500.0,31.0,39.0,70.0,13.0,0,0.44285714285714284,155.0,350.0
18,alaska,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,989.0,39.0,47.0,86.0,0.0,1,0.45348837209302323,385.71,850.54
20,alaska,2016-08-27,2016-08-29,2,2016-08-28,34,6,Moore (R-Murkowski),Live Phone,Likely Voters,500.0,29.0,39.0,68.0,14.0,0,0.4264705882352941,145.0,340.0
21,arizona,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,1461.0,43.0,43.0,86.0,3.0,0,0.5,628.23,1256.46
22,arizona,2016-10-30,2016-11-01,2,2016-10-31,44,0,NBC/WSJ/Marist,Live Phone,Likely Voters,719.0,41.0,46.0,87.0,12.0,0,0.47126436781609193,294.79,625.53
24,arizona,2016-10-28,2016-11-01,4,2016-10-30,43,6,Lucid/The Times-Picayune,Internet,Likely Voters,1113.0,41.0,42.0,83.0,3.0,0,0.4939759036144578,456.33,923.79
25,arizona,2016-10-27,2016-11-01,5,2016-10-29,43,5,CNN,Live Phone,Likely Voters,769.0,44.0,49.0,93.0,1.0,0,0.4731182795698925,338.36,715.17
27,arizona,2016-10-29,2016-10-31,2,2016-10-30,43,6,Saguaro,Internet,Likely Voters,2229.0,45.0,44.0,89.0,4.0,0,0.5056179775280899,1003.05,1983.81
28,arizona,2016-10-29,2016-10-30,1,2016-10-29,43,5,Data Orbital (R),Live Phone,Likely Voters,550.0,41.0,45.0,86.0,3.0,0,0.47674418604651164,225.5,473.0
29,arizona,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,373.0,43.0,51.0,94.0,5.0,0,0.4574468085106383,160.39,350.62
30,arizona,2016-10-26,2016-10-28,2,2016-10-27,43,3,CBS/YouGov,Internet,Likely Voters,994.0,42.0,44.0,86.0,9.0,0,0.4883720930232558,417.48,854.84
31,arizona,2016-10-26,2016-10-27,1,2016-10-26,43,2,Data Orbital (R),Live Phone,Likely Voters,550.0,40.0,42.0,82.0,4.0,0,0.4878048780487805,220.0,451.0
32,arizona,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,954.0,43.0,42.0,85.0,0.0,0,0.5058823529411764,410.22,810.9
33,arizona,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,1752.0,42.0,43.0,85.0,4.0,0,0.49411764705882355,735.84,1489.2
34,arizona,2016-10-22,2016-10-24,2,2016-10-23,42,6,Saguaro,Internet,Likely Voters,2385.0,48.0,46.0,94.0,1.0,0,0.5106382978723404,1144.8,2241.9
35,arizona,2016-10-21,2016-10-24,3,2016-10-22,42,5,Monmouth University,Live Phone,Likely Voters,401.0,45.0,46.0,91.0,3.0,0,0.4945054945054945,180.45,364.91
36,arizona,2016-10-17,2016-10-18,1,2016-10-17,42,0,Data Orbital (R),Live Phone,Likely Voters,550.0,41.0,41.0,82.0,3.0,0,0.5,225.5,451.0
37,arizona,2016-10-06,2016-10-18,12,2016-10-12,41,2,Ipsos/Reuters,Internet,Likely Voters,1538.0,38.0,45.0,83.0,8.0,0,0.4578313253012048,584.44,1276.54
39,arizona,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,1028.0,46.0,47.0,93.0,0.0,0,0.4946236559139785,472.88,956.04
